".State","Census","Estimates Base","2010"
".Alabama","4,779,736","4,779,758","4,785,570"
".Alaska","710,231","710,231","713,868"
".Arizona","6,392,017","6,392,015","6,408,790"
".Arkansas","2,915,918","2,915,916","2,922,280"
".California","37,253,956","37,253,959","37,333,601"
".Colorado","5,029,196","5,029,196","5,048,196"
".Connecticut","3,574,097","3,574,097","3,579,210"
".Delaware","897,934","897,936","899,711"
".District of Columbia","601,723","601,767","605,125"
".Florida","18,801,310","18,802,690","18,846,054"
".Georgia","9,687,653","9,687,663","9,713,248"
".Hawaii","1,360,301","1,360,301","1,363,731"
".Idaho","1,567,582","1,567,652","1,570,718"
".Illinois","12,830,632","12,830,632","12,839,695"
".Indiana","6,483,802","6,483,797","6,489,965"
".Iowa","3,046,355","3,046,857","3,050,314"
".Kansas","2,853,118","2,853,116","2,858,910"
".Kentucky","4,339,367","4,339,357","4,347,698"
".Louisiana","4,533,372","4,533,372","4,545,392"
".Maine","1,328,361","1,328,361","1,327,366"
".Maryland","5,773,552","5,773,623","5,787,193"
".Massachusetts","6,547,629","6,547,629","6,563,263"
".Michigan","9,883,640","9,883,701","9,876,149"
".Minnesota","5,303,925","5,303,925","5,310,337"
".Mississippi","2,967,297","2,967,299","2,970,047"
".Missouri","5,988,927","5,988,923","5,996,063"
".Montana","989,415","989,417","990,527"
".Nebraska","1,826,341","1,826,341","1,829,838"
".Nevada","2,700,551","2,700,552","2,703,230"
".New Hampshire","1,316,470","1,316,469","1,316,614"
".New Jersey","8,791,894","8,791,909","8,802,707"
".New Mexico","2,059,179","2,059,183","2,064,982"
".New York","19,378,102","19,378,105","19,398,228"
".North Carolina","9,535,483","9,535,471","9,559,533"
".North Dakota","672,591","672,591","674,344"
".Ohio","11,536,504","11,536,503","11,545,435"
".Oklahoma","3,751,351","3,751,357","3,759,263"
".Oregon","3,831,074","3,831,073","3,837,208"
".Pennsylvania","12,702,379","12,702,379","12,710,472"
".Rhode Island","1,052,567","1,052,567","1,052,669"
".South Carolina","4,625,364","4,625,360","4,636,361"
".South Dakota","814,180","814,180","816,211"
".Tennessee","6,346,105","6,346,113","6,356,683"
".Texas","25,145,561","25,145,561","25,245,178"
".Utah","2,763,885","2,763,885","2,774,424"
".Vermont","625,741","625,745","625,793"
".Virginia","8,001,024","8,001,031","8,024,417"
".Washington","6,724,540","6,724,543","6,742,256"
".West Virginia","1,852,994","1,852,999","1,854,146"
".Wisconsin","5,686,986","5,686,983","5,689,060"
".Wyoming","563,626","563,626","564,222"
