".State","Census","Estimates Base","2012"
".Alabama","4,779,736","4,779,758","4,817,528"
".Alaska","710,231","710,231","730,307"
".Arizona","6,392,017","6,392,015","6,551,149"
".Arkansas","2,915,918","2,915,916","2,949,828"
".California","37,253,956","37,253,959","37,999,878"
".Colorado","5,029,196","5,029,196","5,189,458"
".Connecticut","3,574,097","3,574,097","3,591,765"
".Delaware","897,934","897,936","917,053"
".District of Columbia","601,723","601,767","633,427"
".Florida","18,801,310","18,802,690","19,320,749"
".Georgia","9,687,653","9,687,663","9,915,646"
".Hawaii","1,360,301","1,360,301","1,390,090"
".Idaho","1,567,582","1,567,652","1,595,590"
".Illinois","12,830,632","12,830,632","12,868,192"
".Indiana","6,483,802","6,483,797","6,537,782"
".Iowa","3,046,355","3,046,857","3,075,039"
".Kansas","2,853,118","2,853,116","2,885,398"
".Kentucky","4,339,367","4,339,357","4,379,730"
".Louisiana","4,533,372","4,533,372","4,602,134"
".Maine","1,328,361","1,328,361","1,328,501"
".Maryland","5,773,552","5,773,623","5,884,868"
".Massachusetts","6,547,629","6,547,629","6,645,303"
".Michigan","9,883,640","9,883,701","9,882,519"
".Minnesota","5,303,925","5,303,925","5,379,646"
".Mississippi","2,967,297","2,967,299","2,986,450"
".Missouri","5,988,927","5,988,923","6,024,522"
".Montana","989,415","989,417","1,005,494"
".Nebraska","1,826,341","1,826,341","1,855,350"
".Nevada","2,700,551","2,700,552","2,754,354"
".New Hampshire","1,316,470","1,316,469","1,321,617"
".New Jersey","8,791,894","8,791,909","8,867,749"
".New Mexico","2,059,179","2,059,183","2,083,540"
".New York","19,378,102","19,378,105","19,576,125"
".North Carolina","9,535,483","9,535,471","9,748,364"
".North Dakota","672,591","672,591","701,345"
".Ohio","11,536,504","11,536,503","11,553,031"
".Oklahoma","3,751,351","3,751,357","3,815,780"
".Oregon","3,831,074","3,831,073","3,899,801"
".Pennsylvania","12,702,379","12,702,379","12,764,475"
".Rhode Island","1,052,567","1,052,567","1,050,304"
".South Carolina","4,625,364","4,625,360","4,723,417"
".South Dakota","814,180","814,180","834,047"
".Tennessee","6,346,105","6,346,113","6,454,914"
".Texas","25,145,561","25,145,561","26,060,796"
".Utah","2,763,885","2,763,885","2,854,871"
".Vermont","625,741","625,745","625,953"
".Virginia","8,001,024","8,001,031","8,186,628"
".Washington","6,724,540","6,724,543","6,895,318"
".West Virginia","1,852,994","1,852,999","1,856,680"
".Wisconsin","5,686,986","5,686,983","5,724,554"
".Wyoming","563,626","563,626","576,626"
